city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Acauã,2200053,228,3210.36328,2022-03-26,0.0088,2,7102,7084,True,658,city,PI
Agricolândia,2200103,829,16156.6946,2022-03-26,0.0121,10,5131,5139,True,650,city,PI
Água Branca,2200202,1702,9742.41557,2022-03-26,0.0452,77,17470,17411,True,699,city,PI
Alagoinha do Piauí,2200251,402,5244.6184,2022-03-26,0.0323,13,7665,7651,True,664,city,PI
Alegrete do Piauí,2200277,553,11244.4083,2022-03-26,0.0163,9,4918,4915,True,646,city,PI
Alto Longá,2200301,858,5983.68087,2022-03-26,0.0175,15,14339,14304,True,680,city,PI
Altos,2200400,5568,13712.59697,2022-03-26,0.0192,107,40605,40524,True,707,city,PI
Alvorada do Gurguéia,2200459,709,13021.12029,2022-03-26,0.0197,14,5445,5419,True,698,city,PI
Amarante,2200509,1736,9861.39514,2022-03-26,0.0207,36,17604,17598,True,690,city,PI
Angical do Piauí,2200608,901,13283.20802,2022-03-26,0.0133,12,6783,6788,True,704,city,PI
Anísio de Abreu,2200707,291,2928.15456,2022-03-26,0.0515,15,9938,9880,True,697,city,PI
Antônio Almeida,2200806,409,12902.2082,2022-03-26,0.0269,11,3170,3164,True,633,city,PI
Aroazes,2200905,699,11995.88124,2022-03-26,0.0215,15,5827,5835,True,693,city,PI
Aroeiras do Itaim,2200954,188,7369.65896,2022-03-26,0.0106,2,2551,2551,True,628,city,PI
Arraial,2201002,172,3644.0678,2022-03-26,0.0174,3,4720,4727,True,576,city,PI
Assunção do Piauí,2201051,410,5214.2948,2022-03-26,0.0244,10,7863,7846,True,646,city,PI
Avelino Lopes,2201101,527,4653.01077,2022-03-26,0.0436,23,11326,11289,True,674,city,PI
Baixa Grande do Ribeiro,2201150,2672,22894.35353,2022-03-26,0.0135,36,11671,11586,True,685,city,PI
Barra D'Alcântara,2201176,156,3947.36842,2022-03-26,0.0321,5,3952,3951,True,638,city,PI
Barras,2201200,5936,12580.26915,2022-03-26,0.0177,105,47185,47066,True,695,city,PI
Barreiras do Piauí,2201309,114,3400.95465,2022-03-26,0.0351,4,3352,3348,True,669,city,PI
Barro Duro,2201408,810,11526.96741,2022-03-26,0.0148,12,7027,7032,True,667,city,PI
Batalha,2201507,1453,5400.48318,2022-03-26,0.0275,40,26905,26857,True,688,city,PI
Bela Vista do Piauí,2201556,324,8039.70223,2022-03-26,0.0216,7,4030,4015,True,677,city,PI
Belém do Piauí,2201572,624,17396.15277,2022-03-26,0.0128,8,3587,3566,True,673,city,PI
Beneditinos,2201606,1474,14074.28626,2022-03-26,0.0278,41,10473,10467,True,688,city,PI
Bertolínia,2201705,1140,20700.92609,2022-03-26,0.0105,12,5507,5501,True,689,city,PI
Betânia do Piauí,2201739,183,2946.8599,2022-03-26,0.0219,4,6210,6205,True,702,city,PI
Boa Hora,2201770,607,8906.82318,2022-03-26,0.0115,7,6815,6781,True,693,city,PI
Bocaina,2201804,451,10011.09878,2022-03-26,0.0244,11,4505,4500,True,670,city,PI
Bom Jesus,2201903,3840,15125.85181,2022-03-26,0.0135,52,25387,25179,True,698,city,PI
Bom Princípio do Piauí,2201919,240,4247.03592,2022-03-26,0.0542,13,5651,5630,True,705,city,PI
Bonfim do Piauí,2201929,518,9111.69745,2022-03-26,0.0174,9,5685,5670,True,707,city,PI
Boqueirão do Piauí,2201945,884,13756.61376,2022-03-26,0.0158,14,6426,6407,True,655,city,PI
Brasileira,2201960,739,8853.48029,2022-03-26,0.0284,21,8347,8329,True,666,city,PI
Brejo do Piauí,2201988,160,4158.00416,2022-03-26,0.0312,5,3848,3875,True,627,city,PI
Buriti dos Lopes,2202000,1494,7542.7879,2022-03-26,0.0248,37,19807,19781,True,696,city,PI
Buriti dos Montes,2202026,722,8736.68925,2022-03-26,0.0139,10,8264,8244,True,672,city,PI
Cabeceiras do Piauí,2202059,759,7140.16933,2022-03-26,0.0224,17,10630,10586,True,673,city,PI
Cajazeiras do Piauí,2202075,83,2322.97789,2022-03-26,0.0241,2,3573,3559,True,669,city,PI
Cajueiro da Praia,2202083,499,6502.47589,2022-03-26,0.0421,21,7674,7642,True,658,city,PI
Caldeirão Grande do Piauí,2202091,551,9531.22297,2022-03-26,0.0036,2,5781,5776,True,669,city,PI
Campinas do Piauí,2202109,254,4519.57295,2022-03-26,0.0079,2,5620,5613,True,664,city,PI
